0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	1
11	2
12	2
13	3
14	3
15	6
16	6
17	11
18	14
19	10
20	16
21	21
22	28
23	29
24	36
25	35
26	62
27	52
28	80
29	92
30	98
31	139
32	144
33	149
34	198
35	198
36	257
37	266
38	295
39	345
40	346
41	383
42	430
43	483
44	506
45	549
46	571
47	514
48	610
49	556
50	597
51	607
52	583
53	596
54	577
55	606
56	590
57	580
58	518
59	568
60	546
61	556
62	541
63	570
64	561
65	523
66	549
67	542
68	581
69	638
70	627
71	684
72	711
73	836
74	872
75	979
76	1045
77	1100
78	1213
79	1321
80	1462
81	1605
82	1664
83	1813
84	1979
85	2111
86	2162
87	2210
88	2233
89	2394
90	2493
91	2481
92	2530
93	2643
94	2509
95	2580
96	2625
97	2476
98	2676
99	2525
100	2528
101	2407
102	2297
103	2319
104	2244
105	2198
106	2128
107	1979
108	1988
109	1867
110	1727
111	1668
112	1595
113	1509
114	1561
115	1452
116	1407
117	1366
118	1326
119	1223
120	1112
121	1184
122	1146
123	1125
124	1160
125	1046
126	1008
127	967
128	1041
129	979
130	937
131	932
132	938
133	920
134	905
135	901
136	893
137	889
138	847
139	832
140	812
141	782
142	771
143	745
144	740
145	699
146	655
147	651
148	669
149	601
150	617
151	622
152	578
153	580
154	562
155	542
156	519
157	489
158	531
159	518
160	496
161	494
162	527
163	497
164	532
165	506
166	479
167	531
168	467
169	499
170	495
171	516
172	523
173	494
174	528
175	560
176	543
177	611
178	612
179	664
180	625
181	635
182	653
183	705
184	759
185	772
186	794
187	790
188	805
189	904
190	831
191	883
192	910
193	989
194	1051
195	1022
196	958
197	1055
198	1089
199	1098
200	1192
201	1176
202	1132
203	1139
204	1162
205	1230
206	1220
207	1286
208	1225
209	1285
210	1299
211	1288
212	1293
213	1273
214	1199
215	1236
216	1153
217	1105
218	1166
219	1129
220	1239
221	1349
222	1654
223	2112
224	2063
225	1388
226	655
227	309
228	165
229	88
230	54
231	29
232	11
233	14
234	5
235	6
236	0
237	1
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
